HDP ID,Project number,Active status,Archive date,Study name,Year Awarded,Registered,Clinical Trials ID,SLMD completion %,Repository selection,Data link(s) submitted,VLMD submitted - Data Dictionary,VLMD submitted - CDE,HEAL Research Program,NIH RePORTER link,Study PIs,DOI Identifier
HDP00055,1U01DK123818-01,archived,2024-05-14T10:52:06.395966,Reducing Chronic Pain and Opioid Use in Hemodialysis Patients,2019,No,,11.5,,,No,No,Integrated Approach to Pain and Opioid Use in Hemodialysis Patients,https://reporter.nih.gov/project-details/9902131,"Sahir  Kalim, Sagar  Nigwekar",
HDP00056,1U18EB029353-01,live,,Development of aWireless Endovascular Nerve Stimulator for Treatment of Refractory Neuropathic Pain,2019,Yes,,55.8,Figshare,https://doi.org/10.6084/m9.figshare.27616083.v1,No,No,Translating Discoveries into Effective Devices to Treat Pain,https://reporter.nih.gov/project-details/9932702,"Peter Tze Man Kan, Jacob T. Robinson, Sunil  Sheth",10.60490/HDP00056
HDP00057,1UG3DA047682-01,live,,PF614 MPAR Abuse Deterrent opioid prodrug with overdose protection: Pre-Clinical Development and Phase 1 Clinical Trial,2018,No,,11.5,,,No,No,Focusing Medication Development to Prevent and Treat Opioid Use Disorder and Overdose,https://reporter.nih.gov/project-details/9670620,Lynn  Kirkpatrick,
HDP00058,1R01HL150432-01,live,,Cell-type specific role of circadian-dependent transcription in fentanyl-induced synaptic and behavioral plasticity,2019,No,,11.5,,,No,No,Sleep Dysfunction as a Core Feature of Opioid Use Disorder and Recovery,https://reporter.nih.gov/project-details/9876499,Ryan W Logan,
HDP00059,1UG3HD102038-01,archived,2025-01-28T10:49:58.627500,Effectiveness of an mHealth psychosocial intervention to prevent transition from acute to chronic postsurgical pain in adolescents,2019,Yes,NCT04637802,90.4,,,No,No,Pain Management Effectiveness Research Network,https://reporter.nih.gov/project-details/9868143,"Tonya M Palermo, Jennifer  Rabbitts",10.60490/HDP00059
HDP00060,1R43DA047722-01,live,,Peripherally-restricted and long-acting MAS1(LA-MAS1) agonists for pain,2019,No,,11.5,,,No,No,Small Business Programs,https://reporter.nih.gov/project-details/9674683,Pierre  Riviere,
HDP00061,1U01DA055367-01,archived,2024-05-30T13:43:30.204357,23/24 Healthy Brain and Child Development National Consortium,2021,No,,11.5,,,No,No,HEALthy Brain and Child Development Study (HBCD),https://reporter.nih.gov/project-details/10378402,"RYAN H BOGDAN, CYNTHIA Elise ROGERS",
HDP00062,1R43NS124421-01A1,live,,Development of Nav1.7 Monoclonal Antibodies for Treating Pain,2021,Yes,,7.7,,,No,No,Small Business Programs,https://reporter.nih.gov/project-details/10318547,JOSEPH Benjamin RUCKER,
HDP00063,1R01DE029074-01A1,live,,Novel target identification for treatment of chronic overlapping pain using multimodal brain imaging,2020,Yes,,7.7,Zenodo,,No,No,Discovery and Validation of Novel Targets for Safe and Effective Treatment of Pain,https://reporter.nih.gov/project-details/9966115,"Ohannes Kevork Melemedjian, RICHARD J TRAUB",
HDP00064,1R44DA049685-01,live,,Noninvasive Brain Stimulation for Treating Addiction,2019,No,,11.5,,,No,No,Small Business Programs,https://reporter.nih.gov/project-details/9846812,"Laura  Dipietro, Timothy Andrew Wagner",
HDP00065,1UG3DA050173-01,archived,2024-09-05T15:44:44.550287,Optimized Interventions to Prevent Opioid Use Disorder among Adolescents and Young Adults in the Emergency Department,2019,No,,11.5,,,No,No,Preventing Opioid Use Disorder,https://reporter.nih.gov/project-details/9889568,"Erin Elizabeth Bonar, Maureen A Walton",
HDP00066,1PL1HD101059-01,live,,HEAL Initiative: Antenatal Opioid Exposure Longitudinal Study Consortium,2019,Yes,NCT04149509,75.0,"OpenNEURO, NICHD DASH",,Yes,No,Advancing Clinical Trials in Neonatal Opioid Withdrawal (ACT NOW),https://reporter.nih.gov/project-details/9901874,CARLA M BANN,10.60490/HDP00066
HDP00067,1UG3DA047720-01,live,,Evaluation of safety and pharmacokinetics of naltrexone implant,2018,No,,11.5,,,No,No,Focusing Medication Development to Prevent and Treat Opioid Use Disorder and Overdose,https://reporter.nih.gov/project-details/9677487,"ADAM  BISAGA, Edward V. Nunes",
HDP00068,1U01DA055370-01,archived,2024-05-30T13:43:35.383610,21/24 Healthy Brain and Child Development National Consortium,2021,No,,11.5,,,No,No,HEALthy Brain and Child Development Study (HBCD),https://reporter.nih.gov/project-details/10378328,"Douglas Carl Dean III, JULIE A POEHLMANN-TYNAN",
HDP00069,1UG3DA051383-01A1,live,,Brexpiprazole as an adjunctive treatment to buprenorphine to treat Opioid Use Disorder,2020,No,,11.5,,,No,No,Focusing Medication Development to Prevent and Treat Opioid Use Disorder and Overdose,https://reporter.nih.gov/project-details/10130067,Andy  Forbes,
HDP00070,1UG3DA049598-01,live,,Novel Therapeutics for Opioid Use Disorder in the Acute Overdose and Maintenance Settings,2019,No,,11.5,,,No,No,Focusing Medication Development to Prevent and Treat Opioid Use Disorder and Overdose,https://reporter.nih.gov/project-details/9843968,"Donald  Gehlert, William K Schmidt",
HDP00071,1R03DA046011-01A1,live,,"Opioid sparing potential of light-induced analgesia: a pilot trial of a novel, non-pharmacological treatment for pain",2019,No,,11.5,,,No,No,Focusing Medication Development to Prevent and Treat Opioid Use Disorder and Overdose,https://reporter.nih.gov/project-details/9745741,Padma  Gulur,
HDP00072,1ZIATR000346-01,live,,HEAL: Probe/Drug Lead Production,2018,No,,11.5,,,No,No,,https://reporter.nih.gov/project-details/9781338,Matthew  Hall,
HDP00073,1U01HL150835-01,live,,Evaluating the Role of the Orexin System in Circadian Rhythms of Sleep and Stress in Persons on Medication-Assisted Treatments for Opioid Use Disorder,2019,Yes,,42.3,,,No,No,Sleep Dysfunction as a Core Feature of Opioid Use Disorder and Recovery,https://reporter.nih.gov/project-details/9881988,"Patrick  Finan, Andrew S Huhn",
HDP00074,1UM1DA049417-01,live,,Optimizing HEALing in Ohio Communities (OHiO),2019,Yes,NCT04111939,86.5,ICPSR,,Yes,No,HEALing Communities Study,https://reporter.nih.gov/project-details/9837189,"REBECCA D JACKSON, T John WINHUSEN",10.60490/HDP00074
HDP00075,1R43DA050360-01,live,,Transcutaneous auricular neurostimulation for neonatal abstinence syndrome,2019,Yes,NCT05129020,38.5,,,No,No,Small Business Programs,https://reporter.nih.gov/project-details/9910282,"DOROTHEA DENISE JENKINS, Navid  Khodaparast",
HDP00076,1UG1HD107631-01,archived,2024-11-04T13:39:33.010117,Neonatal Treatment Trial,2021,No,,11.5,,,No,No,Advancing Clinical Trials in Neonatal Opioid Withdrawal (ACT NOW),https://reporter.nih.gov/project-details/10379584,"Sara Bonamo DeMauro, Scott A Lorch",
HDP00077,1UG3DA048351-01,live,,A Phase I/IIa Clinical Trial Testing the Safety and Immunogenicity of a Heroin Vaccine and its Efficacy Against Morphine Challenge.,2018,Yes,,53.8,,,No,No,Focusing Medication Development to Prevent and Treat Opioid Use Disorder and Overdose,https://reporter.nih.gov/project-details/9734921,Gary R. Matyas,10.60490/HDP00077
HDP00078,1R01NS116759-01,live,,Validating ASCT2 for the Treatment of Chronic Postsurgical Pain,2020,Yes,,53.8,Figshare,,No,No,Discovery and Validation of Novel Targets for Safe and Effective Treatment of Pain,https://reporter.nih.gov/project-details/9974791,Ohannes Kevork Melemedjian,10.60490/HDP00078
HDP00079,1UG1DA049468-01,archived,2025-01-14T10:32:36.371249,"New Mexico Clinical Trials Node: Clinical research and practice to address substance use in diverse, rural and underserved populations",2019,No,,11.5,,,No,No,Enhancing the National Drug Abuse Treatment Clinical Trials Network to Address Opioids,https://reporter.nih.gov/project-details/9839338,Kimberly  Page,
HDP00080,1U24NS113844-01,archived,2023-08-22T13:45:13.587225,EPPIC-NET DCC,2019,No,,11.5,,,No,No,Early Phase Pain Investigation Clinical Network (EPPIC-Net),https://reporter.nih.gov/project-details/9868133,"Eva  Petkova, Andrea B Troxel",
HDP00081,1U24NS113800-01,archived,2023-08-22T13:45:13.587225,University of Florida Early Phase Pain Investigation Clinical Center,2019,No,,11.5,,,No,No,Early Phase Pain Investigation Clinical Network (EPPIC-Net),https://reporter.nih.gov/project-details/9864857,"Rene  Przkora, Patrick J Tighe",
HDP00082,1R21DA045092-01A1,live,,Cannabis Identity as Cognitive and Developmental Risk Factors For Adolescent Cannabis Misuse,2018,No,,11.5,,,No,No,,https://reporter.nih.gov/project-details/9599337,Jason  Ramirez,
HDP00083,1R24DA051975-01,live,,Innovations in Recovery through Infrastructure Support (IRIS),2020,Yes,,7.7,NAHDAP,,No,No,Recovery Research Networks,https://reporter.nih.gov/project-details/10058548,"Lucille Michelle Tuten, GEORGE J UNICK",
HDP00084,1UM1DA049406-01,live,,Kentucky CAN HEAL (Communities and Networks Helping End Addiction Long-term),2019,Yes,NCT04111939,84.6,ICPSR,,Yes,No,HEALing Communities Study,https://reporter.nih.gov/project-details/9836991,Sharon L. Walsh,10.60490/HDP00084
HDP00085,1UG3DA051241-01,archived,2025-01-28T10:49:59.909694,Integrated Treatment for Veterans with Co-Occurring Chronic Pain and Opioid Use Disorder,2019,Yes,NCT04648228,92.3,,,No,No,Pain Management Effectiveness Research Network,https://reporter.nih.gov/project-details/9868568,"KEVIN E VOWLES, Katie A Witkiewitz",10.60490/HDP00085
HDP00086,1R24DA055306-01,archived,2024-07-30T07:02:57.841060,Wake Forest IMPOWR Dissemination Education and Coordination Center (IDEA-CC),2021,Yes,,36.5,,,No,No,Integrative Management of chronic Pain and OUD for Whole Recovery (IMPOWR),https://reporter.nih.gov/project-details/10378786,MEREDITH C. B. ADAMS,
HDP00087,1R34DA050341-01,archived,2024-08-06T11:25:13.122769,4/6 Planning for the HEALthy Early Development Study,2019,No,,11.5,,,No,No,HEALthy Brain and Child Development Study (HBCD),https://reporter.nih.gov/project-details/9900304,CHRISTINA  CHAMBERS,
HDP00088,1UG3DA052282-01,live,,NOP Receptor Antagonist for OUD Pharmacotherapy,2020,No,,11.5,,,No,No,Focusing Medication Development to Prevent and Treat Opioid Use Disorder and Overdose,https://reporter.nih.gov/project-details/10085851,"Kathryn A. Cunningham, FREDERICK Gerard MOELLER",
HDP00089,1R44DA050375-01,live,,A Novel Workflow to Screen for Illicit Drug Exposure in Newborns,2019,No,,11.5,,,No,No,Small Business Programs,https://reporter.nih.gov/project-details/9912559,Adam David Kennedy,
HDP00090,1R34DA046635-01A1,live,,Treatment of chronic low back pain with transcutaneous auricular vagus nerve stimulation,2019,No,,11.5,NIMH Data Archive,,No,No,Focusing Medication Development to Prevent and Treat Opioid Use Disorder and Overdose,https://reporter.nih.gov/project-details/9745990,JIAN  KONG,
